,day,Case_Num,age
0,1,1609,42.556867619639526
1,2,879,38.484641638225256
2,3,3813,42.26173616574876
3,4,1879,36.776476849387976
4,5,1765,38.609065155807365
5,6,1954,33.473899692937565
6,7,2320,33.42413793103448
